id,lig_id,lig_name,formula,mol_weight,inchi_key
,ERC,8-HYDROXY-5-[(1R)-1-HYDROXY-2-({2-[3-METHOXY-4-(3-SULFANYLPROPOXY)PHENYL]ETHYL}AMINO)ETHYL]QUINOLIN-2(1H)-ONE,C23 H28 N2 O5 S,444.54,WAQRESHSGHIXBV-IBGZPJMESA-N
,TRE,TREHALOSE,C12 H22 O11,342.3,HDTRYLNUVZCQOY-LIZSDCNHSA-N
,UKA,"6-(2,2-DIPHENYLETHYLAMINO)-9-[(2R,3R,4S,5S)-5-(ETHYLCARBAMOYL)-3,4-DIHYDROXY-OXOLAN-2-YL]-N-[2-[(1-PYRIDIN-2-YLPIPERIDIN-4-YL)CARBAMOYLAMINO]ETHYL]PURINE-2-CARBOXAMIDE",C40 H47 N11 O6,777.87,ZOTHAEBAWXWVID-HXEFRTELSA-N
,XAC,"N-(2-AMINOETHYL)-2-[4-(2,6-DIOXO-1,3-DIPROPYL-2,3,6,7-TETRAHYDRO-1H-PURIN-8-YL)PHENOXY]ACETAMIDE",C21 H28 N6 O4,428.48,FIQGIOAELHTLHM-UHFFFAOYSA-N
,CFF,CAFFEINE,C8 H10 N4 O2,194.19,RYYVLZVUVIJVGH-UHFFFAOYSA-N
,5EH,"(3E)-3-(DIBENZO[B,E]OXEPIN-11(6H)-YLIDENE)-N,N-DIMETHYLPROPAN-1-AMINE",C19 H21 N O,279.38,ODQWQRRAPPTVAG-GZTJUZNOSA-N
,D7V,"(3Z)-3-(DIBENZO[B,E]OXEPIN-11(6H)-YLIDENE)-N,N-DIMETHYLPROPAN-1-AMINE",C19 H21 N O,279.38,ODQWQRRAPPTVAG-BOPFTXTBSA-N
,PO4,PHOSPHATE ION,O4 P -3,94.97,NBIIXXVUZAFLBC-UHFFFAOYSA-K
,BGC,BETA-D-GLUCOSE,C6 H12 O6,180.16,WQZGKKKJIJFFOK-VFUOTHLCSA-N
,CL,CHLORIDE ION,CL -1,35.45,VEXZGXHMUGYJMC-UHFFFAOYSA-M
,QNB,(3R)-1-AZABICYCLO[2.2.2]OCT-3-YL HYDROXY(DIPHENYL)ACETATE,C21 H23 N O3,337.41,HGMITUYOCPPQLE-IBGZPJMESA-N
,T4G,"6-(2,6-DIMETHYLPYRIDIN-4-YL)-5-PHENYL-1,2,4-TRIAZIN-3-AMINE",C16 H15 N5,277.32,SORFNYWLKDSNNF-UHFFFAOYSA-N
,T4E,"4-(3-AMINO-5-PHENYL-1,2,4-TRIAZIN-6-YL)-2-CHLOROPHENOL",C15 H11 CL N4 O,298.73,ZHUZHTHIEMXLRA-UHFFFAOYSA-N
,ML5,{(3R)-3-AMINO-4-[(3-HEXYLPHENYL)AMINO]-4-OXOBUTYL}PHOSPHONIC ACID,C16 H27 N2 O4 P,342.37,FWJRVGZWNDOOFH-OAHLLOKOSA-N
,LMT,DODECYL-BETA-D-MALTOSIDE,C24 H46 O11,510.61,NLEBIOOXCVAHBD-QKMCSOCLSA-N
,VPX,"ETHYL [(1R,3AR,4AR,6R,8AR,9S,9AS)-9-{(E)-2-[5-(3-FLUOROPHENYL)PYRIDIN-2-YL]ETHENYL}-1-METHYL-3-OXODODECAHYDRONAPHTHO[2,3-C]FURAN-6-YL]CARBAMATE",C29 H33 F N2 O4,492.58,ZBGXUVOIWDMMJE-QHNZEKIYSA-N
,GLY,GLYCINE,C2 H5 N O2,75.07,DHMQDGOQFOQNFH-UHFFFAOYSA-N
,XF5,4-(PIPERAZIN-1-YL)-1H-INDOLE,C12 H15 N3,201.27,YZKSXUIOKWQABW-UHFFFAOYSA-N
,3WC,4-METHYL-2-(PIPERAZIN-1-YL) QUINOLINE,C14 H17 N3,227.3,LCRABWZMGNEZJV-UHFFFAOYSA-N
,G90,2-[(2S)-3-[[1-(1H-INDOL-3-YL)-2-METHYL-PROPAN-2-YL]AMINO]-2-OXIDANYL-PROPOXY]BENZENECARBONITRILE,C22 H25 N3 O2,363.45,FBMYKMYQHCBIGU-SFHVURJKSA-N
,CVD,(2S)-1-(8H-CARBAZOL-4-YLOXY)-3-[2-(2-METHOXYPHENOXY)ETHYLAMINO]PROPAN-2-OL,C24 H26 N2 O4,406.47,OGHNVEJMJSYVRP-KRWDZBQOSA-N
,MHA,(CARBAMOYLMETHYL-CARBOXYMETHYL-AMINO)-ACETIC ACID,C6 H10 N2 O5,190.15,QZTKDVCDBIDYMD-UHFFFAOYSA-N
